Years,State,CO2_Emissions_commercial,CO2_Emissions_electricity,CO2_Emissions_industrial,CO2_Emissions_residential,CO2_Emissions_transportation,Year_x,Real GDP,Unit,State_Code_x,Year_y,Personal Income (millions),Population,Per capita income (dollars),State_Code_y,State_Code,CLPRB,CLPRK,CLPRP,COPRK,EMFDB,ENPRP,GETCB,HYTCB,NGMPB,NGMPK,NGMPP,NUETB,PAPRB,PAPRP,REPRB,ROPRB,SOTCB,TEPRB,TETCB,WDEXB,WDPRB,WDTCB,WSTCB,WYTCB
2010,Alabama,2.1,76.7,18.8,2.9,32.2,2010,182262.7,Millions of chained 2012 dollars,AL,2010,161516.6,4785448.0,33752.0,AL,AL,493094.0,24.176,20396.0,5.8,0.0,0.0,138.0,84919.0,256117.0,1.149,222932.0,396557.0,41499.0,7155.0,242243.0,242243.0,68.0,1429509.0,1942109.0,0.0,151829.0,151829.0,5289.0,0.0
2011,Alabama,2.0,74.0,19.3,2.3,32.3,2011,185054.8,Millions of chained 2012 dollars,AL,2011,167942.8,4798834.0,34997.0,AL,AL,468671.0,24.182,19381.0,5.8,0.0,0.0,135.0,86313.0,225570.0,1.153,195581.0,411822.0,48563.0,8373.0,255849.0,255849.0,71.0,1410477.0,1916766.0,0.0,167604.0,167604.0,1727.0,0.0
2012,Alabama,1.8,66.5,21.4,1.8,31.8,2012,186299.0,Millions of chained 2012 dollars,AL,2012,172804.1,4815564.0,35884.0,AL,AL,488084.0,25.088,19455.0,5.8,0.0,0.0,141.0,70754.0,229914.0,1.0659999999999998,215710.0,427975.0,55245.0,9525.0,242062.0,242062.0,78.0,1443280.0,1890045.0,0.0,169275.0,169275.0,1814.0,0.0
2013,Alabama,1.8,64.2,21.1,2.2,31.6,2013,188165.1,Millions of chained 2012 dollars,AL,2013,174415.5,4830460.0,36107.0,AL,AL,469162.0,25.185,18628.0,5.8,0.0,0.0,141.0,123071.0,211258.0,1.0759999999999998,196326.0,426488.0,60366.0,10408.0,310497.0,310497.0,97.0,1477771.0,1933718.0,0.0,185545.0,185545.0,1642.0,0.0
2014,Alabama,1.9,65.1,22.1,2.4,31.6,2014,186849.0,Millions of chained 2012 dollars,AL,2014,180457.8,4842481.0,37266.0,AL,AL,414366.0,25.302,16377.0,5.8,0.0,0.0,141.0,90030.0,195614.0,1.08,181060.0,431368.0,56985.0,9825.0,268440.0,268440.0,100.0,1366773.0,1970357.0,0.0,176539.0,176539.0,1630.0,0.0
2015,Alabama,2.2,61.9,21.0,2.1,32.9,2015,189339.1,Millions of chained 2012 dollars,AL,2015,187544.4,4853160.0,38644.0,AL,AL,331420.0,25.122,13193.0,5.7170000000000005,0.0,0.0,141.0,91902.0,182481.0,1.085,168246.0,438728.0,55421.0,9694.0,257022.0,257022.0,101.0,1265071.0,1923918.0,0.0,163313.0,163313.0,1565.0,0.0
2016,Alabama,2.2,55.2,21.1,1.9,34.7,2016,190703.0,Millions of chained 2012 dollars,AL,2016,190814.7,4864745.0,39224.0,AL,AL,247632.0,25.68,9643.0,5.722,0.0,0.0,141.0,64484.0,176290.0,1.07,164815.0,417334.0,46388.0,8107.0,228840.0,228840.0,431.0,1116484.0,1928825.0,0.0,162179.0,162179.0,1606.0,0.0
2000,Arizona,2.2,44.7,4.8,2.1,32.3,2000,207793.3,Millions of chained 2012 dollars,AZ,2000,135387.5,5160586.0,26235.0,AZ,AZ,286772.0,21.873,13111.0,5.8,0.0,0.0,286.0,85221.0,373.0,1.013,368.0,316839.0,342.0,59.0,100776.0,100776.0,3344.0,705102.0,1310640.0,0.0,11637.0,11637.0,287.0,0.0
2001,Arizona,2.1,46.0,4.9,2.2,33.3,2001,212656.2,Millions of chained 2012 dollars,AZ,2001,141344.5,5273477.0,26803.0,AZ,AZ,293303.0,21.859,13418.0,5.8,0.0,0.0,287.0,78774.0,312.0,1.015,307.0,299966.0,342.0,59.0,90514.0,90514.0,3086.0,684436.0,1320938.0,0.0,7794.0,7794.0,572.0,0.0
2002,Arizona,2.2,45.0,4.3,2.2,34.2,2002,219311.3,Millions of chained 2012 dollars,AZ,2002,146505.2,5396255.0,27149.0,AZ,AZ,280064.0,21.873,12804.0,5.8,0.0,0.0,294.0,75557.0,306.0,1.018,301.0,322260.0,365.0,63.0,86880.0,86880.0,2877.0,689876.0,1314854.0,0.0,7489.0,7489.0,663.0,0.0
2003,Arizona,2.0,46.1,4.1,2.1,35.2,2003,233342.0,Millions of chained 2012 dollars,AZ,2003,155175.0,5510364.0,28161.0,AZ,AZ,262251.0,21.747,12059.0,5.8,0.0,0.0,235.0,71634.0,447.0,1.01,443.0,297872.0,273.0,47.0,83080.0,83080.0,2760.0,643922.0,1333910.0,0.0,7849.0,7849.0,602.0,0.0
2004,Arizona,2.0,51.7,4.6,2.2,36.0,2004,243246.0,Millions of chained 2012 dollars,AZ,2004,169638.7,5652404.0,30012.0,AZ,AZ,278231.0,21.855,12731.0,5.8,0.0,0.0,255.0,69843.0,337.0,1.0190000000000001,331.0,293158.0,313.0,54.0,81377.0,81377.0,2672.0,653417.0,1384481.0,0.0,8021.0,8021.0,586.0,0.0
2005,Arizona,2.0,50.8,5.0,2.1,36.7,2005,263061.0,Millions of chained 2012 dollars,AZ,2005,188136.5,5839077.0,32220.0,AZ,AZ,263426.0,21.820999999999998,12072.0,5.8,0.0,0.0,283.0,64094.0,239.0,1.024,233.0,269327.0,290.0,50.0,78334.0,78334.0,2574.0,611616.0,1425513.0,0.0,10734.0,10734.0,649.0,0.0
2006,Arizona,2.0,52.7,5.1,2.2,37.9,2006,277288.3,Millions of chained 2012 dollars,AZ,2006,209127.0,6029141.0,34686.0,AZ,AZ,179356.0,21.83,8216.0,5.8,0.0,0.0,287.0,67379.0,623.0,1.02,611.0,250568.0,319.0,55.0,80773.0,80773.0,2661.0,511639.0,1471166.0,0.0,9485.0,9485.0,962.0,0.0
2007,Arizona,2.1,55.2,4.9,2.3,37.4,2007,284907.0,Millions of chained 2012 dollars,AZ,2007,220735.9,6167681.0,35789.0,AZ,AZ,173934.0,21.788,7983.0,5.8,3847.0,659.0,302.0,65211.0,670.0,1.023,655.0,280920.0,249.0,43.0,83204.0,79357.0,2749.0,538978.0,1497716.0,0.0,10166.0,10166.0,929.0,0.0
2008,Arizona,2.4,57.6,5.5,2.4,34.4,2008,277477.1,Millions of chained 2012 dollars,AZ,2008,223345.8,6280362.0,35563.0,AZ,AZ,173998.0,21.682,8025.0,5.8,7486.0,1290.0,366.0,71795.0,537.0,1.0270000000000001,523.0,305726.0,313.0,54.0,96341.0,88855.0,3112.0,576916.0,1465317.0,0.0,12648.0,12648.0,934.0,0.0
2009,Arizona,2.2,52.5,4.3,2.2,32.3,2009,255080.7,Millions of chained 2012 dollars,AZ,2009,211975.3,6343154.0,33418.0,AZ,AZ,160706.0,21.502,7474.0,5.8,7552.0,1308.0,329.0,62731.0,727.0,1.021,712.0,320692.0,267.0,46.0,80680.0,73128.0,3445.0,563072.0,1379971.0,0.0,5358.0,5358.0,977.0,288.0
2010,Arizona,2.4,54.4,4.7,2.3,31.6,2010,257484.7,Millions of chained 2012 dollars,AZ,2010,215523.6,6407774.0,33635.0,AZ,AZ,167930.0,21.66,7753.0,5.8,7909.0,1373.0,339.0,64606.0,186.0,1.016,183.0,326102.0,215.0,37.0,85935.0,78026.0,4518.0,580368.0,1383847.0,0.0,6109.0,6109.0,1138.0,1316.0
2011,Arizona,2.4,52.3,5.1,2.4,31.3,2011,263211.1,Millions of chained 2012 dollars,AZ,2011,226365.3,6473497.0,34968.0,AZ,AZ,174841.0,21.555999999999997,8111.0,5.8,7724.0,1345.0,345.0,89135.0,171.0,1.015,168.0,327292.0,215.0,37.0,113360.0,105636.0,7604.0,615878.0,1424223.0,0.0,5404.0,5404.0,665.0,2483.0
2012,Arizona,2.3,51.3,5.0,2.1,30.7,2012,268288.8,Millions of chained 2012 dollars,AZ,2012,236846.1,6556629.0,36123.0,AZ,AZ,161374.0,21.535999999999998,7493.0,5.8,5466.0,955.0,345.0,63918.0,119.0,1.021,117.0,334636.0,302.0,52.0,98806.0,93340.0,18096.0,595237.0,1394090.0,0.0,5191.0,5191.0,731.0,5059.0
2013,Arizona,2.4,54.7,4.6,2.4,31.1,2013,270148.9,Millions of chained 2012 dollars,AZ,2013,242855.6,6634999.0,36602.0,AZ,AZ,163691.0,21.531,7603.0,5.8,0.0,0.0,345.0,56432.0,74.0,1.025,72.0,328423.0,348.0,60.0,98826.0,98826.0,31405.0,591362.0,1411591.0,0.0,5464.0,5464.0,888.0,4291.0
2014,Arizona,2.2,53.1,4.5,2.0,31.3,2014,273677.1,Millions of chained 2012 dollars,AZ,2014,257410.0,6733840.0,38226.0,AZ,AZ,173337.0,21.531,8051.0,5.8,5903.0,1038.0,345.0,58185.0,109.0,1.03,106.0,338044.0,325.0,56.0,120013.0,114110.0,43565.0,631828.0,1420245.0,0.0,6757.0,6757.0,806.0,4452.0
2015,Arizona,2.9,49.6,4.4,2.1,31.9,2015,280229.5,Millions of chained 2012 dollars,AZ,2015,271132.8,6833596.0,39676.0,AZ,AZ,146450.0,21.522,6805.0,5.7170000000000005,6896.0,1217.0,345.0,60906.0,99.0,1.04,95.0,340153.0,212.0,37.0,129241.0,122346.0,48223.0,616155.0,1442394.0,0.0,8001.0,8001.0,658.0,4213.0
2016,Arizona,2.9,44.3,4.6,2.2,33.1,2016,289230.4,Millions of chained 2012 dollars,AZ,2016,282477.6,6945452.0,40671.0,AZ,AZ,116678.0,21.516,5423.0,5.722,6867.0,1216.0,345.0,66173.0,49.0,1.037,47.0,338636.0,46.0,8.0,139197.0,132330.0,52843.0,594605.0,1473676.0,0.0,7504.0,7504.0,465.0,5000.0
2000,Arkansas,2.1,26.4,11.4,2.9,20.8,2000,90206.3,Millions of chained 2012 dollars,AR,2000,60969.9,2678588.0,22762.0,AR,AR,269.0,22.44,12.0,5.8,0.0,0.0,192.0,24181.0,175471.0,1.022,171642.0,121516.0,41493.0,7154.0,108634.0,108634.0,795.0,447383.0,1144789.0,0.0,82394.0,82394.0,1072.0,0.0
2001,Arkansas,2.1,27.0,11.3,2.7,19.7,2001,89922.7,Millions of chained 2012 dollars,AR,2001,64168.1,2691571.0,23840.0,AR,AR,381.0,22.44,17.0,5.8,0.0,0.0,212.0,26331.0,170142.0,1.02,166804.0,154356.0,44034.0,7592.0,94001.0,94001.0,642.0,462914.0,1099774.0,0.0,65993.0,65993.0,822.0,0.0
2002,Arkansas,2.1,25.5,10.7,2.6,20.3,2002,92884.9,Millions of chained 2012 dollars,AR,2002,65661.6,2705927.0,24266.0,AR,AR,314.0,22.44,14.0,5.8,0.0,0.0,228.0,34953.0,166236.0,1.0270000000000001,161871.0,152024.0,42062.0,7252.0,108618.0,108618.0,500.0,469254.0,1122195.0,0.0,72201.0,72201.0,737.0,0.0
2003,Arkansas,2.2,26.3,10.8,2.5,20.2,2003,96544.8,Millions of chained 2012 dollars,AR,2003,69547.4,2724816.0,25524.0,AR,AR,180.0,22.44,8.0,5.8,0.0,0.0,282.0,26878.0,175384.0,1.034,169599.0,153093.0,41812.0,7209.0,107905.0,107905.0,367.0,478374.0,1103975.0,0.0,72591.0,72591.0,7787.0,0.0
2004,Arkansas,2.0,27.1,10.5,2.3,20.5,2004,101210.2,Millions of chained 2012 dollars,AR,2004,74033.0,2749686.0,26924.0,AR,AR,157.0,22.44,7.0,5.8,0.0,0.0,306.0,36493.0,189912.0,1.015,187069.0,161111.0,39133.0,6747.0,112915.0,112915.0,239.0,503228.0,1095132.0,0.0,72781.0,72781.0,3097.0,0.0
2005,Arkansas,2.1,25.3,10.1,2.2,20.5,2005,104653.3,Millions of chained 2012 dollars,AR,2005,78000.3,2781097.0,28047.0,AR,AR,67.0,22.44,3.0,5.8,0.0,0.0,349.0,30822.0,193576.0,1.016,190533.0,142864.0,35815.0,6175.0,112451.0,112451.0,90.0,484774.0,1118423.0,0.0,78375.0,78375.0,2815.0,0.0
2006,Arkansas,1.9,27.4,10.1,2.1,20.5,2006,106940.0,Millions of chained 2012 dollars,AR,2006,83068.2,2821761.0,29438.0,AR,AR,516.0,22.44,23.0,5.8,0.0,0.0,401.0,15380.0,278724.0,1.031,270293.0,158952.0,34498.0,5948.0,99990.0,99990.0,94.0,572681.0,1114543.0,0.0,82168.0,82168.0,1947.0,0.0
2007,Arkansas,1.9,28.6,10.0,2.1,20.8,2007,106155.3,Millions of chained 2012 dollars,AR,2007,88508.3,2848650.0,31070.0,AR,AR,1863.0,22.44,83.0,5.8,0.0,0.0,482.0,31992.0,273910.0,1.015,269886.0,162434.0,34980.0,6031.0,120733.0,120733.0,53.0,593919.0,1128237.0,0.0,85171.0,85171.0,3035.0,0.0
2008,Arkansas,2.2,29.0,10.6,2.3,20.1,2008,105791.0,Millions of chained 2012 dollars,AR,2008,91812.1,2874554.0,31940.0,AR,AR,1548.0,22.44,69.0,5.8,0.0,0.0,572.0,45923.0,453357.0,1.015,446457.0,148085.0,35258.0,6079.0,123354.0,123354.0,53.0,761602.0,1109695.0,0.0,73631.0,73631.0,3175.0,0.0
2009,Arkansas,2.5,28.8,8.1,2.2,19.9,2009,102528.1,Millions of chained 2012 dollars,AR,2009,90246.0,2896843.0,31153.0,AR,AR,112.0,22.44,5.0,5.8,0.0,0.0,702.0,40921.0,691076.0,1.016,679952.0,158663.0,33379.0,5755.0,124205.0,124205.0,59.0,1007435.0,1041554.0,0.0,80579.0,80579.0,1943.0,0.0
2010,Arkansas,2.6,32.3,9.0,2.3,19.6,2010,105922.5,Millions of chained 2012 dollars,AR,2010,93290.5,2921978.0,31927.0,AR,AR,718.0,22.44,32.0,5.8,0.0,0.0,773.0,35697.0,938086.0,1.012,926639.0,157017.0,33251.0,5733.0,125229.0,125229.0,80.0,1254301.0,1126984.0,0.0,86296.0,86296.0,2382.0,0.0
2011,Arkansas,2.5,34.2,9.0,2.1,19.4,2011,108295.4,Millions of chained 2012 dollars,AR,2011,99571.5,2940407.0,33863.0,AR,AR,2985.0,22.44,133.0,5.8,0.0,0.0,750.0,28738.0,1090851.0,1.0170000000000001,1072212.0,148531.0,34087.0,5877.0,121171.0,121171.0,85.0,1397623.0,1129108.0,0.0,88925.0,88925.0,2673.0,0.0
2012,Arkansas,2.5,34.6,8.6,1.6,18.7,2012,108745.2,Millions of chained 2012 dollars,AR,2012,106984.7,2952109.0,36240.0,AR,AR,2077.0,21.165,98.0,5.8,0.0,0.0,808.0,20921.0,1164000.0,1.016,1146168.0,162353.0,37909.0,6536.0,111565.0,111565.0,100.0,1477903.0,1072603.0,0.0,87198.0,87198.0,2537.0,0.0
2013,Arkansas,2.8,35.5,9.2,2.2,18.7,2013,111778.9,Millions of chained 2012 dollars,AR,2013,107240.7,2959549.0,36235.0,AR,AR,1433.0,24.469,59.0,5.8,0.0,0.0,808.0,25329.0,1164319.0,1.022,1139654.0,124816.0,38512.0,6640.0,116588.0,116588.0,108.0,1445668.0,1104570.0,0.0,87887.0,87887.0,2455.0,0.0
2014,Arkansas,3.1,35.5,9.1,2.4,19.0,2014,112932.1,Millions of chained 2012 dollars,AR,2014,113545.5,2967726.0,38260.0,AR,AR,1864.0,19.836,94.0,5.8,0.0,0.0,808.0,25104.0,1142667.0,1.018,1122733.0,151428.0,39295.0,6775.0,116381.0,116381.0,111.0,1451635.0,1121882.0,0.0,86603.0,86603.0,3755.0,0.0
2015,Arkansas,3.1,27.0,8.3,2.0,18.8,2015,113860.9,Millions of chained 2012 dollars,AR,2015,117180.6,2978407.0,39343.0,AR,AR,1819.0,19.893,91.0,5.7170000000000005,0.0,0.0,808.0,33261.0,1031466.0,1.021,1010382.0,144716.0,35611.0,6229.0,113410.0,113410.0,124.0,1327023.0,1062224.0,0.0,75417.0,75417.0,3799.0,0.0
2016,Arkansas,2.9,30.2,8.2,1.7,19.4,2016,114541.2,Millions of chained 2012 dollars,AR,2016,120059.5,2990410.0,40148.0,AR,AR,974.0,19.705,49.0,5.722,0.0,0.0,808.0,32958.0,839485.0,1.02,823196.0,140370.0,31580.0,5519.0,110079.0,110079.0,372.0,1122488.0,1054180.0,0.0,70823.0,70823.0,5118.0,0.0
2000,California,14.4,52.9,67.3,27.6,215.1,2000,1709938.7,Millions of chained 2012 dollars,CA,2000,1133965.4,33987977.0,33364.0,CA,CA,0.0,0.0,0.0,5.8,691.0,115.0,127600.0,391043.0,391339.0,1.0390000000000001,376580.0,366845.0,1572566.0,271132.0,736594.0,735903.0,23073.0,3067344.0,7921270.0,0.0,122297.0,122297.0,36003.0,35887.0
2001,California,14.8,57.8,69.3,28.7,211.0,2001,1702775.7,Millions of chained 2012 dollars,CA,2001,1173768.8,34479458.0,34043.0,CA,CA,0.0,0.0,0.0,5.8,758.0,126.0,128077.0,263923.0,408873.0,1.082,377824.0,346911.0,1511845.0,260663.0,608031.0,607273.0,22960.0,2875661.0,7955161.0,0.0,120610.0,120610.0,35540.0,36163.0
2002,California,14.2,43.7,70.3,28.7,223.2,2002,1743650.6,Millions of chained 2012 dollars,CA,2002,1193118.0,34871843.0,34214.0,CA,CA,0.0,0.0,0.0,5.8,1033.0,172.0,135221.0,316794.0,394973.0,1.097,360205.0,358707.0,1495808.0,257898.0,676209.0,675176.0,22418.0,2925697.0,8008105.0,0.0,115403.0,115403.0,46656.0,38684.0
2003,California,14.0,42.7,70.7,28.4,213.2,2003,1825424.0,Millions of chained 2012 dollars,CA,2003,1248506.5,35253159.0,35415.0,CA,CA,0.0,0.0,0.0,5.8,1211.0,202.0,133310.0,368253.0,373822.0,1.109,337216.0,370958.0,1438939.0,248093.0,719373.0,718162.0,21857.0,2903093.0,7892261.0,0.0,119805.0,119805.0,35496.0,39441.0
2004,California,14.1,46.3,74.2,29.4,222.7,2004,1902318.8,Millions of chained 2012 dollars,CA,2004,1329404.0,35574576.0,37369.0,CA,CA,0.0,0.0,0.0,5.8,1099.0,185.0,133248.0,341956.0,356787.0,1.115,319919.0,315634.0,1392800.0,240138.0,697397.0,696298.0,22216.0,2762618.0,8260248.0,0.0,119961.0,119961.0,35789.0,43128.0
2005,California,14.2,41.9,70.8,28.2,228.6,2005,1990140.8,Millions of chained 2012 dollars,CA,2005,1407285.5,35827943.0,39279.0,CA,CA,0.0,0.0,0.0,5.8,2145.0,363.0,132375.0,396279.0,354384.0,1.1159999999999999,317637.0,377313.0,1335334.0,230230.0,741140.0,738996.0,22115.0,2808170.0,8166058.0,0.0,108828.0,108828.0,36780.0,42618.0
2006,California,14.4,46.5,70.0,28.4,232.9,2006,2072177.0,Millions of chained 2012 dollars,CA,2006,1516057.5,36021202.0,42088.0,CA,CA,0.0,0.0,0.0,5.8,5497.0,936.0,129319.0,476582.0,351706.0,1.1159999999999999,315209.0,333488.0,1293487.0,223015.0,821968.0,816471.0,23341.0,2800649.0,8289269.0,0.0,103015.0,103015.0,35782.0,48433.0
2007,California,15.1,50.0,68.1,28.6,235.5,2007,2103618.2,Millions of chained 2012 dollars,CA,2007,1581573.3,36250311.0,43629.0,CA,CA,0.0,0.0,0.0,5.8,12429.0,2128.0,130592.0,270107.0,343379.0,1.1179999999999999,307160.0,375427.0,1267404.0,218518.0,631941.0,619513.0,25804.0,2618152.0,8260040.0,0.0,102506.0,102506.0,35301.0,55201.0
2008,California,15.6,50.9,66.5,28.8,219.7,2008,2111138.0,Millions of chained 2012 dollars,CA,2008,1606579.9,36604337.0,43890.0,CA,CA,0.0,0.0,0.0,5.8,13174.0,2270.0,129143.0,237755.0,331830.0,1.119,296469.0,339506.0,1244291.0,214533.0,603931.0,590756.0,29985.0,2519558.0,8075576.0,0.0,104020.0,104020.0,36790.0,53063.0
2009,California,15.6,47.8,62.7,28.3,213.7,2009,2026486.9,Millions of chained 2012 dollars,CA,2009,1554013.3,36961229.0,42044.0,CA,CA,0.0,0.0,0.0,5.8,6797.0,1178.0,127461.0,272187.0,310439.0,1.122,276575.0,332218.0,1202120.0,207262.0,646780.0,639983.0,31297.0,2491556.0,7774309.0,0.0,114994.0,114994.0,37047.0,56997.0
2010,California,16.1,43.4,65.1,28.9,209.2,2010,2058137.9,Millions of chained 2012 dollars,CA,2010,1628457.6,37320903.0,43634.0,CA,CA,0.0,0.0,0.0,5.8,9707.0,1685.0,124981.0,326152.0,320668.0,1.1179999999999999,286841.0,336562.0,1162146.0,200370.0,715550.0,705843.0,36006.0,2534927.0,7760676.0,0.0,122031.0,122031.0,37371.0,59303.0
2011,California,15.7,36.4,65.0,29.7,201.8,2011,2091586.0,Millions of chained 2012 dollars,CA,2011,1737940.0,37641823.0,46170.0,CA,CA,0.0,0.0,0.0,5.8,24810.0,4321.0,124092.0,413488.0,280255.0,1.12,250177.0,383644.0,1137798.0,196172.0,837314.0,812505.0,41816.0,2639011.0,7768794.0,0.0,119156.0,119156.0,38636.0,75317.0
2012,California,15.9,48.0,65.0,27.3,196.9,2012,2144497.3,Millions of chained 2012 dollars,CA,2012,1852397.5,37960782.0,48798.0,CA,CA,0.0,0.0,0.0,5.8,24139.0,4219.0,121269.0,255384.0,278232.0,1.127,246822.0,193939.0,1143824.0,197211.0,703607.0,679468.0,53911.0,2319603.0,7549440.0,0.0,117753.0,117753.0,38330.0,92821.0
2013,California,15.9,45.7,68.9,27.7,197.7,2013,2220867.6,Millions of chained 2012 dollars,CA,2013,1886379.1,38280824.0,49277.0,CA,CA,0.0,0.0,0.0,5.8,22795.0,3997.0,119556.0,226643.0,287883.0,1.141,252310.0,187162.0,1153782.0,198928.0,741782.0,718987.0,84832.0,2370609.0,7638003.0,0.0,125089.0,125089.0,40532.0,122335.0
2014,California,15.1,46.3,68.6,22.9,200.1,2014,2312540.1,Millions of chained 2012 dollars,CA,2014,2021038.5,38625139.0,52324.0,CA,CA,0.0,0.0,0.0,5.8,25219.0,4435.0,117226.0,157213.0,271757.0,1.137,238988.0,177656.0,1187254.0,204699.0,746468.0,721249.0,156457.0,2383135.0,7584837.0,0.0,125880.0,125880.0,40915.0,123559.0
2015,California,18.6,44.3,68.8,23.4,205.7,2015,2428598.4,Millions of chained 2012 dollars,CA,2015,2171947.4,38953142.0,55758.0,CA,CA,0.0,0.0,0.0,5.7170000000000005,27775.0,4901.0,112878.0,128681.0,271086.0,1.146,236648.0,193529.0,1150741.0,201284.0,734669.0,706894.0,211807.0,2350026.0,7672710.0,0.0,98852.0,98852.0,40708.0,113967.0
2016,California,18.9,36.6,68.8,24.1,213.0,2016,2500950.4,Millions of chained 2012 dollars,CA,2016,2263889.8,39209127.0,57739.0,CA,CA,0.0,0.0,0.0,5.722,30041.0,5320.0,107912.0,267194.0,234094.0,1.1420000000000001,205025.0,197754.0,1064744.0,186079.0,927056.0,897015.0,267479.0,2423649.0,7819232.0,0.0,89383.0,89383.0,40332.0,124715.0
2000,Colorado,3.7,39.2,9.3,6.8,25.5,2000,232752.0,Millions of chained 2012 dollars,CO,2000,147924.9,4326921.0,34187.0,CO,CO,648023.0,22.241,29137.0,5.8,141.0,23.0,578.0,14836.0,801801.0,1.065,752985.0,0.0,107190.0,18481.0,27076.0,26936.0,221.0,1584090.0,1250523.0,0.0,9928.0,9928.0,1372.0,0.0
